feature,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Bwd Packets/s,-0.091594,-0.0226,-0.025209,-0.000632,-0.007581,-0.001666,-0.057817,-0.060191,-0.067549,-0.015886,-0.007308,-0.008632,-0.007299,-0.005618,-0.011112,0.093486,-0.028495,-0.028915,-0.023654,-0.000971,-0.022426,-0.027948,-0.027675,-0.023426,-0.000882,-0.012885,-0.013071,-0.013448,-0.013311,0.032997,0.007201,0.002449,0.001067,0.025071,1.0,-0.061383,-0.039901,-0.069368,-0.01089,-0.003117,0.038712,0.007201,0.015461,0.122992,0.155377,0.136407,-0.0611,-0.067549,-0.007299,-0.025209,-0.007581,-0.000632,-0.001666,0.018881,0.038291,-0.024716,0.008626,-0.006181,-0.006792,-0.007605,-0.003941,-0.017665,-0.013924,-0.018731,-0.015682
Packet Length Min,0.652185,-0.338329,0.097805,-0.118661,0.046705,-0.034232,0.647477,0.995965,0.951365,-0.209544,-0.172965,-0.255367,-0.216727,-0.177699,0.508172,0.292568,-0.246945,-0.278682,-0.299733,0.003451,-0.335067,-0.292557,-0.288087,-0.295535,0.005111,-0.240712,-0.242359,-0.249744,-0.247826,-0.188871,-0.176379,-0.020285,0.018393,0.297986,-0.061383,1.0,0.304128,0.921997,-0.232403,-0.080411,-0.025297,-0.176379,-0.491454,-0.343974,-0.241951,-0.397576,0.932587,0.951365,-0.216727,0.097805,0.046705,-0.118661,-0.034232,-0.32152,-0.154445,0.115947,-0.122495,-0.102317,-0.122162,-0.13223,-0.06176,-0.327701,-0.256901,-0.347002,-0.291353
Packet Length Max,0.119488,0.088062,0.229993,0.518639,0.264622,0.51966,0.679991,0.307162,0.397635,0.505655,0.820804,-0.123335,0.61984,0.753483,0.211988,0.09679,-0.160792,-0.063532,0.112655,-0.001821,0.087282,-0.144072,-0.024248,0.112656,-0.000666,0.25131,-0.058091,0.022259,0.156052,-0.095328,-0.067038,-0.004189,0.010386,0.09993,-0.039901,0.304128,1.0,0.539539,0.772282,0.72754,-0.016963,-0.067038,0.006303,-0.175736,-0.144219,-0.092917,0.494528,0.397635,0.61984,0.229993,0.264622,0.518639,0.51966,0.20046,-0.004213,0.174595,-0.0338,0.043972,0.018314,0.035014,0.039038,0.12412,-0.102695,0.082251,0.164983
Packet Length Mean,0.642223,-0.316417,0.158721,0.04342,0.091521,0.106904,0.767863,0.922161,0.96566,0.033654,0.064131,-0.246775,0.052283,0.069488,0.499321,0.28036,-0.30881,-0.313476,-0.273601,0.001053,-0.313851,-0.345336,-0.310003,-0.270008,0.002981,-0.172489,-0.255917,-0.242598,-0.20019,-0.203477,-0.162932,-0.020275,0.019274,0.286277,-0.069368,0.921997,0.539539,1.0,0.085851,0.129854,-0.02895,-0.162932,-0.466076,-0.35761,-0.261086,-0.37141,0.978471,0.96566,0.052283,0.158721,0.091521,0.04342,0.106904,-0.240692,-0.144963,0.156507,-0.109686,-0.083803,-0.111571,-0.115348,-0.046146,-0.285024,-0.278873,-0.315691,-0.238265
Packet Length Std,-0.22108,0.239825,0.084644,0.503381,0.068474,0.421197,0.323826,-0.221379,-0.09306,0.717356,0.871858,0.055196,0.870459,0.917984,-0.043988,-0.051974,-0.068144,0.04654,0.241516,-0.004555,0.236653,-0.027715,0.092124,0.238672,-0.004096,0.369057,0.048123,0.132063,0.271874,0.001835,0.049808,0.008163,-0.001251,-0.051437,-0.01089,-0.232403,0.772282,0.085851,1.0,0.686916,-0.00559,0.049808,0.263377,0.005787,-0.02353,0.130458,0.033252,-0.09306,0.870459,0.084644,0.068474,0.503381,0.421197,0.397253,0.08715,0.018997,0.031687,0.098937,0.080264,0.106349,0.074446,0.277545,0.008051,0.24193,0.304001
Packet Length Variance,-0.113842,0.094956,0.111145,0.58598,0.109532,0.803375,0.175768,-0.07448,-0.031119,0.290807,0.788565,-0.001872,0.602395,0.644999,-0.01279,-0.017527,-0.018746,0.020519,0.108922,-0.001298,0.093452,-0.00616,0.03728,0.107536,-0.001178,0.127081,0.014056,0.042835,0.096141,0.001509,0.013573,0.00314,0.001183,-0.017384,-0.003117,-0.080411,0.72754,0.129854,0.686916,1.0,-0.001804,0.013573,0.128249,0.011036,0.002445,0.102783,0.086897,-0.031119,0.602395,0.111145,0.109532,0.58598,0.803375,0.218033,0.040735,0.048023,0.011188,0.03988,0.03227,0.043592,0.03035,0.098927,0.005829,0.086893,0.107533
SYN Flag Count,-0.038063,-0.009112,-0.009905,-0.001293,-0.003222,-0.000738,-0.024299,-0.025235,-0.028321,-0.006734,-0.003401,-0.003488,-0.003602,-0.003356,-0.004996,0.028804,-0.011488,-0.011644,-0.009493,-0.000249,-0.009063,-0.011341,-0.011208,-0.009449,-0.000364,-0.005089,-0.005074,-0.005287,-0.005256,-0.002917,-0.003905,0.001011,0.000464,0.026258,0.038712,-0.025297,-0.016963,-0.02895,-0.00559,-0.001804,1.0,-0.003905,-0.0109,0.050545,-0.005338,0.001581,-0.025514,-0.028321,-0.003602,-0.009905,-0.003222,-0.001293,-0.000738,-0.007093,-0.002923,-0.009895,0.003565,-0.002553,-0.002805,-0.003141,-0.001628,-0.007294,-0.005749,-0.007734,-0.006476
RST Flag Count,-0.265302,0.017003,-0.056114,0.019862,-0.020693,0.001053,-0.092394,-0.168732,-0.158452,0.105826,-0.006016,0.004848,0.00363,-0.004803,-0.023183,0.100699,-0.031946,0.011821,0.06006,0.02317,0.017271,-0.015724,0.028949,0.060363,0.023981,0.04138,0.006247,0.028207,0.055949,0.011453,1.0,0.007048,0.003232,0.100615,0.007201,-0.176379,-0.067038,-0.162932,0.049808,0.013573,-0.003905,1.0,-0.075973,0.514396,-0.005297,0.007143,-0.142463,-0.158452,0.00363,-0.056114,-0.020693,0.019862,0.001053,0.096057,0.011948,-0.060445,0.024848,0.003314,-0.004218,-0.003501,0.004389,0.074332,0.031412,0.071101,0.076661
ACK Flag Count,-0.740436,0.645321,-0.09864,0.179878,-0.057201,0.063704,-0.254488,-0.490977,-0.505364,0.188194,0.287107,-0.082546,0.242869,0.329977,-0.10172,-0.129748,0.618408,0.644974,0.604426,-0.007808,0.639397,0.671266,0.64003,0.59726,-0.007089,0.435405,0.458392,0.464406,0.448226,0.153377,-0.075973,0.019671,0.009021,-0.131342,0.015461,-0.491454,0.006303,-0.466076,0.263377,0.128249,-0.0109,-0.075973,1.0,-0.142262,-0.103848,0.058699,-0.424604,-0.505364,0.242869,-0.09864,-0.057201,0.179878,0.063704,0.459156,0.157387,-0.12384,0.069348,0.186217,0.224632,0.240477,0.111628,0.577384,0.468542,0.616516,0.507646
URG Flag Count,-0.515755,-0.066599,-0.122713,0.011861,-0.02739,-0.004978,-0.262315,-0.338439,-0.355576,0.02678,-0.02291,-0.038208,-0.010146,-0.018023,-0.063093,0.087262,-0.117492,-0.095003,-0.049784,0.027603,-0.066082,-0.102078,-0.07916,-0.049371,0.022774,-0.011833,-0.032646,-0.025066,-0.012384,0.073159,0.514396,0.013702,0.006282,0.079157,0.122992,-0.343974,-0.175736,-0.35761,0.005787,0.011036,0.050545,0.514396,-0.142262,1.0,0.703134,0.434191,-0.316479,-0.355576,-0.010146,-0.122713,-0.02739,0.011861,-0.004978,0.165189,0.15565,-0.124442,0.048305,-0.020435,-0.028295,-0.029761,-0.010922,-0.018893,-0.037371,-0.026186,-0.009065
CWE Flag Count,-0.362644,-0.088135,-0.10023,-0.002403,-0.030705,-0.004922,-0.227959,-0.236418,-0.26546,-0.063052,-0.015218,-0.03681,-0.001646,-0.010264,-0.049567,-0.009814,-0.104532,-0.112544,-0.091274,0.040527,-0.087696,-0.105089,-0.108287,-0.090922,0.033651,-0.050606,-0.051243,-0.05271,-0.052207,0.052735,-0.005297,0.009634,0.004417,-0.020544,0.155377,-0.241951,-0.144219,-0.261086,-0.02353,0.002445,-0.005338,-0.005297,-0.103848,0.703134,1.0,0.578442,-0.231713,-0.26546,-0.001646,-0.10023,-0.030705,-0.002403,-0.004922,0.085249,0.200543,-0.098455,0.033965,-0.024323,-0.026721,-0.029925,-0.015512,-0.069368,-0.054776,-0.073579,-0.061558
Down/Up Ratio,-0.324251,-0.062921,-0.141184,0.118032,-0.050345,0.069884,-0.303235,-0.390819,-0.425194,-0.003023,0.136201,0.327716,0.234865,0.108014,-0.085434,-0.100706,-0.152606,-0.126434,-0.050858,-0.003254,-0.076204,-0.155439,-0.126566,-0.068731,-0.005067,0.026295,-0.034129,-0.020373,0.017054,0.183517,0.007143,0.016214,-0.023554,-0.110502,0.136407,-0.397576,-0.092917,-0.37141,0.130458,0.102783,0.001581,0.007143,0.058699,0.434191,0.578442,1.0,-0.335685,-0.425194,0.234865,-0.141184,-0.050345,0.118032,0.069884,0.163597,0.364678,-0.151044,0.053835,0.1161,-0.011934,0.059585,0.137557,-0.023593,-0.053251,-0.034184,-0.010103
Avg Packet Size,0.578524,-0.290928,0.051314,0.013443,0.050182,0.073776,0.743253,0.932409,0.956187,-0.002377,0.022988,-0.216942,0.00973,0.026817,0.600527,0.367671,-0.268479,-0.276141,-0.250697,0.004111,-0.288512,-0.303183,-0.27524,-0.247373,0.00581,-0.166701,-0.229443,-0.220584,-0.1886,-0.180323,-0.142463,-0.01237,0.016965,0.373376,-0.0611,0.932587,0.494528,0.978471,0.033252,0.086897,-0.025514,-0.142463,-0.424604,-0.316479,-0.231713,-0.335685,1.0,0.956187,0.00973,0.051314,0.050182,0.013443,0.073776,-0.227078,-0.131416,0.051514,-0.115549,-0.079725,-0.103222,-0.107875,-0.044933,-0.264479,-0.249117,-0.290535,-0.223723
Avg Fwd Segment Size,0.673568,-0.345753,0.144524,-0.090403,0.102454,-0.030591,0.768302,0.956262,1.0,0.001162,-0.12276,-0.28108,-0.179663,-0.117535,0.502888,0.286288,-0.298096,-0.31679,-0.309585,0.001574,-0.3426,-0.338283,-0.319148,-0.305469,0.003458,-0.216589,-0.25693,-0.254984,-0.237532,-0.206783,-0.158452,-0.021484,0.020891,0.292104,-0.067549,0.951365,0.397635,0.96566,-0.09306,-0.031119,-0.028321,-0.158452,-0.505364,-0.355576,-0.26546,-0.425194,0.956187,1.0,-0.179663,0.144524,0.102454,-0.090403,-0.030591,-0.303848,-0.143021,0.16135,-0.113746,-0.098439,-0.11805,-0.124986,-0.058886,-0.325517,-0.272603,-0.349035,-0.28428
Avg Bwd Segment Size,-0.194807,0.185086,0.04334,0.501696,-0.01977,0.422693,0.108154,-0.215113,-0.179663,0.383128,0.810972,0.234527,1.0,0.872369,-0.046249,-0.063271,-0.050988,0.036959,0.20525,-0.003537,0.181897,-0.022155,0.071743,0.202047,-0.003224,0.276845,0.0318,0.098283,0.224147,0.03814,0.00363,0.008774,-0.013288,-0.063027,-0.007299,-0.216727,0.61984,0.052283,0.870459,0.602395,-0.003602,0.00363,0.242869,-0.010146,-0.001646,0.234865,0.00973,-0.179663,1.0,0.04334,-0.01977,0.501696,0.422693,0.345664,0.045987,-0.028811,0.02914,0.087556,0.060801,0.081862,0.068996,0.235187,-0.001356,0.202669,0.259016
Subflow Fwd Packets,0.161221,-0.03153,1.0,0.262045,0.667966,0.13805,0.304839,0.096807,0.144524,0.077145,0.062975,-0.112533,0.04334,0.052015,-0.056427,-0.060694,-0.148422,-0.130409,-0.053409,-0.006383,-0.030646,-0.135946,-0.114932,-0.052075,-0.005677,0.031272,-0.043921,-0.030508,0.008118,-0.069921,-0.056114,-0.067551,0.00745,-0.059207,-0.025209,0.097805,0.229993,0.158721,0.084644,0.111145,-0.009905,-0.056114,-0.09864,-0.122713,-0.10023,-0.141184,0.051314,0.144524,0.04334,1.0,0.667966,0.262045,0.13805,-0.048251,-0.044907,0.986558,0.033677,0.000404,0.010484,0.007031,-0.004793,-0.01481,-0.048148,-0.024487,-0.003517
Subflow Fwd Bytes,0.067919,-0.044102,0.667966,0.189816,1.0,-0.000425,0.439656,0.046459,0.102454,0.128726,-0.009669,-0.03654,-0.01977,-0.01084,-0.012067,-0.014697,-0.061109,-0.06061,-0.046342,-0.001945,-0.043734,-0.060177,-0.057508,-0.045848,-0.001733,-0.021071,-0.029049,-0.028286,-0.02461,-0.02455,-0.020693,-0.021692,0.00262,-0.014236,-0.007581,0.046705,0.264622,0.091521,0.068474,0.109532,-0.003222,-0.020693,-0.057201,-0.02739,-0.030705,-0.050345,0.050182,0.102454,-0.01977,0.667966,1.0,0.189816,-0.000425,-0.034708,-0.003472,0.67584,0.008386,-0.010595,-0.01108,-0.012167,-0.007023,-0.034517,-0.030277,-0.037361,-0.029768
Subflow Bwd Packets,-0.157728,0.251372,0.262045,1.0,0.189816,0.837462,0.184345,-0.118252,-0.090403,0.237955,0.57024,0.003256,0.501696,0.447761,-0.024522,-0.033175,0.014398,0.083131,0.244916,-0.001791,0.249651,0.043941,0.111257,0.243184,-0.001663,0.320828,0.079149,0.12744,0.25616,0.009806,0.019862,0.004713,-0.001905,-0.033267,-0.000632,-0.118661,0.518639,0.04342,0.503381,0.58598,-0.001293,0.019862,0.179878,0.011861,-0.002403,0.118032,0.013443,-0.090403,0.501696,0.262045,0.189816,1.0,0.837462,0.210586,0.032244,0.140376,0.016326,0.11318,0.133442,0.142277,0.065765,0.246952,0.084241,0.234246,0.250074
Subflow Bwd Bytes,-0.049985,0.075156,0.13805,0.837462,-0.000425,1.0,0.044614,-0.034187,-0.030591,0.061895,0.593405,-0.004456,0.422693,0.386379,-0.006991,-0.009621,-0.010452,0.00876,0.088246,-0.000538,0.07469,-0.00605,0.018415,0.087762,-0.000489,0.091729,0.001168,0.016985,0.071877,-0.000856,0.001053,0.001352,0.000286,-0.009545,-0.001666,-0.034232,0.51966,0.106904,0.421197,0.803375,-0.000738,0.001053,0.063704,-0.004978,-0.004922,0.069884,0.073776,-0.030591,0.422693,0.13805,-0.000425,0.837462,1.0,0.124321,0.001755,0.036277,0.004746,0.032044,0.031525,0.035455,0.021006,0.073741,0.009765,0.065623,0.078882
Init Fwd Win Bytes,-0.482038,0.306434,-0.048251,0.210586,-0.034708,0.124321,-0.064453,-0.318863,-0.303848,0.283305,0.38886,-0.056931,0.345664,0.439172,-0.061194,-0.033138,0.154697,0.224185,0.294616,0.002488,0.299993,0.189776,0.241368,0.286677,0.000579,0.310175,0.169885,0.208635,0.258204,0.064433,0.096057,0.012806,0.005874,-0.034572,0.018881,-0.32152,0.20046,-0.240692,0.397253,0.218033,-0.007093,0.096057,0.459156,0.165189,0.085249,0.163597,-0.227078,-0.303848,0.345664,-0.048251,-0.034708,0.210586,0.124321,1.0,0.365652,-0.084724,0.045147,0.128497,0.097381,0.132444,0.10234,0.29808,0.118006,0.287805,0.295343
Init Bwd Win Bytes,-0.23032,-0.004132,-0.044907,0.032244,-0.003472,0.001755,-0.047367,-0.14898,-0.143021,0.116536,0.065258,-0.030289,0.045987,0.078796,-0.031399,-0.038246,-0.030544,-0.020292,-0.010825,-0.000382,-0.018173,-0.041673,-0.034655,-0.029342,1.9e-05,0.027778,0.00382,0.000715,0.002561,0.039802,0.011948,0.006119,0.002806,-0.041036,0.038291,-0.154445,-0.004213,-0.144963,0.08715,0.040735,-0.002923,0.011948,0.157387,0.15565,0.200543,0.364678,-0.131416,-0.143021,0.045987,-0.044907,-0.003472,0.032244,0.001755,0.365652,1.0,-0.048305,0.021571,0.175298,-0.007222,0.102555,0.204995,-0.017739,-0.032314,-0.023315,-0.011179
Fwd Act Data Packets,0.191187,-0.074487,0.986558,0.140376,0.67584,0.036277,0.297134,0.11492,0.16135,0.051836,-0.008927,-0.11019,-0.028811,-0.009987,-0.05369,-0.05748,-0.156793,-0.147138,-0.087597,-0.006239,-0.073366,-0.145449,-0.134108,-0.086,-0.005553,-0.00798,-0.048958,-0.042524,-0.020106,-0.0707,-0.060445,-0.069064,0.007235,-0.056014,-0.024716,0.115947,0.174595,0.156507,0.018997,0.048023,-0.009895,-0.060445,-0.12384,-0.124442,-0.098455,-0.151044,0.051514,0.16135,-0.028811,0.986558,0.67584,0.140376,0.036277,-0.084724,-0.048305,1.0,0.031743,-0.013698,-0.004141,-0.011556,-0.014562,-0.04994,-0.056631,-0.056856,-0.040002
Fwd Seg Size Min,-0.091848,0.040326,0.033677,0.016326,0.008386,0.004746,-0.076099,-0.121901,-0.113746,0.028668,0.023821,0.031677,0.02914,0.024732,-0.052151,-0.045777,0.020416,0.028623,0.035884,-0.003067,0.039873,0.029731,0.031277,0.035305,-0.003297,0.033768,0.03431,0.035292,0.034928,0.022342,0.024848,0.283575,0.05403,-0.046558,0.008626,-0.122495,-0.0338,-0.109686,0.031687,0.011188,0.003565,0.024848,0.069348,0.048305,0.033965,0.053835,-0.115549,-0.113746,0.02914,0.033677,0.008386,0.016326,0.004746,0.045147,0.021571,0.031743,1.0,0.006512,0.017844,0.014152,-0.000834,0.045915,0.036122,0.048705,0.040754
Active Mean,-0.14668,0.216927,0.000404,0.11318,-0.010595,0.032044,-0.012019,-0.102227,-0.098439,0.087859,0.099132,-0.01918,0.087556,0.103208,-0.023836,-0.032765,0.117072,0.136857,0.214358,0.099254,0.205363,0.11927,0.136689,0.20009,0.099371,0.184979,0.095641,0.126917,0.191119,-0.002768,0.003314,0.004256,0.002114,-0.032474,-0.006181,-0.102317,0.043972,-0.083803,0.098937,0.03988,-0.002553,0.003314,0.186217,-0.020435,-0.024323,0.1161,-0.079725,-0.098439,0.087556,0.000404,-0.010595,0.11318,0.032044,0.128497,0.175298,-0.013698,0.006512,1.0,0.464397,0.831119,0.902294,0.21629,0.138007,0.221444,0.201961
Active Std,-0.183235,0.338942,0.010484,0.133442,-0.01108,0.031525,-0.023429,-0.122042,-0.11805,0.091584,0.078109,-0.015267,0.060801,0.081187,-0.026186,-0.035995,0.148738,0.192516,0.262662,0.026296,0.33873,0.193529,0.209976,0.263158,0.026465,0.292777,0.193675,0.220221,0.273096,-0.004684,-0.004218,0.005062,0.002322,-0.035674,-0.006792,-0.122162,0.018314,-0.111571,0.080264,0.03227,-0.002805,-0.004218,0.224632,-0.028295,-0.026721,-0.011934,-0.103222,-0.11805,0.060801,0.010484,-0.01108,0.133442,0.031525,0.097381,-0.007222,-0.004141,0.017844,0.464397,1.0,0.835444,0.053202,0.239243,0.252493,0.270218,0.194435
Active Max,-0.1968,0.331502,0.007031,0.142277,-0.012167,0.035455,-0.017944,-0.132103,-0.124986,0.116942,0.09891,-0.02082,0.081862,0.104471,-0.029326,-0.040311,0.152058,0.181806,0.251802,0.070133,0.324527,0.179198,0.189038,0.24357,0.070303,0.285487,0.174748,0.199304,0.253345,-0.004423,-0.003501,0.005458,0.002601,-0.039952,-0.007605,-0.13223,0.035014,-0.115348,0.106349,0.043592,-0.003141,-0.003501,0.240477,-0.029761,-0.029925,0.059585,-0.107875,-0.124986,0.081862,0.007031,-0.012167,0.142277,0.035455,0.132444,0.102555,-0.011556,0.014152,0.831119,0.835444,1.0,0.560512,0.239729,0.205417,0.26062,0.206476
Active Min,-0.086169,0.090711,-0.004793,0.065765,-0.007023,0.021006,-0.004617,-0.06171,-0.058886,0.059279,0.074145,-0.014928,0.068996,0.077739,-0.015201,-0.020895,0.0636,0.065106,0.114283,0.095637,0.07754,0.04627,0.055747,0.097632,0.095696,0.077071,0.024824,0.044662,0.087408,-0.000887,0.004389,0.002534,0.001348,-0.020709,-0.003941,-0.06176,0.039038,-0.046146,0.074446,0.03035,-0.001628,0.004389,0.111628,-0.010922,-0.015512,0.137557,-0.044933,-0.058886,0.068996,-0.004793,-0.007023,0.065765,0.021006,0.10234,0.204995,-0.014562,-0.000834,0.902294,0.053202,0.560512,1.0,0.127651,0.03335,0.118991,0.132249
Idle Mean,-0.49494,0.838807,-0.01481,0.246952,-0.034517,0.073741,-0.069935,-0.327374,-0.325517,0.224571,0.309444,-0.045063,0.235187,0.313969,-0.068105,-0.093616,0.63051,0.822836,0.960596,0.003389,0.838276,0.706226,0.871839,0.960338,0.003863,0.709776,0.447289,0.58551,0.741857,0.027587,0.074332,0.013146,0.006038,-0.092783,-0.017665,-0.327701,0.12412,-0.285024,0.277545,0.098927,-0.007294,0.074332,0.577384,-0.018893,-0.069368,-0.023593,-0.264479,-0.325517,0.235187,-0.01481,-0.034517,0.246952,0.073741,0.29808,-0.017739,-0.04994,0.045915,0.21629,0.239243,0.239729,0.127651,1.0,0.472468,0.977913,0.977409
Idle Std,-0.390447,0.551622,-0.048148,0.084241,-0.030277,0.009765,-0.169204,-0.256655,-0.272603,0.037242,0.018743,-0.030874,-0.001356,0.009422,-0.05368,-0.073788,0.597849,0.62381,0.620827,0.006009,0.552172,0.648364,0.623949,0.621559,0.006381,0.294335,0.405404,0.410812,0.410426,0.040488,0.031412,0.010359,0.004758,-0.073131,-0.013924,-0.256901,-0.102695,-0.278873,0.008051,0.005829,-0.005749,0.031412,0.468542,-0.037371,-0.054776,-0.053251,-0.249117,-0.272603,-0.001356,-0.048148,-0.030277,0.084241,0.009765,0.118006,-0.032314,-0.056631,0.036122,0.138007,0.252493,0.205417,0.03335,0.472468,1.0,0.635623,0.282869
Idle Max,-0.524753,0.867725,-0.024487,0.234246,-0.037361,0.065623,-0.102196,-0.346658,-0.349035,0.203544,0.272477,-0.046571,0.202669,0.273886,-0.072215,-0.099266,0.687079,0.859,0.981325,0.005408,0.867401,0.766887,0.901914,0.981277,0.005909,0.694675,0.497636,0.617183,0.750722,0.032764,0.071101,0.01394,0.006402,-0.098383,-0.018731,-0.347002,0.082251,-0.315691,0.24193,0.086893,-0.007734,0.071101,0.616516,-0.026186,-0.073579,-0.034184,-0.290535,-0.349035,0.202669,-0.024487,-0.037361,0.234246,0.065623,0.287805,-0.023315,-0.056856,0.048705,0.221444,0.270218,0.26062,0.118991,0.977913,0.635623,1.0,0.91511
Idle Min,-0.439139,0.77077,-0.003517,0.250074,-0.029768,0.078882,-0.029906,-0.29106,-0.28428,0.239462,0.335237,-0.041394,0.259016,0.342389,-0.060463,-0.083111,0.537616,0.744903,0.900134,0.001789,0.770039,0.60644,0.799215,0.899661,0.00221,0.69824,0.37537,0.528097,0.704819,0.019752,0.076661,0.011671,0.005361,-0.082372,-0.015682,-0.291353,0.164983,-0.238265,0.304001,0.107533,-0.006476,0.076661,0.507646,-0.009065,-0.061558,-0.010103,-0.223723,-0.28428,0.259016,-0.003517,-0.029768,0.250074,0.078882,0.295343,-0.011179,-0.040002,0.040754,0.201961,0.194435,0.206476,0.132249,0.977409,0.282869,0.91511,1.0
